session,experiment,model,features,target,n_folds,type,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
1,nn_composition_MIC_SA,nn,composition,MIC_SA,5,regression,35.0766126622825,5.122741847148686,24.45330689019365,1.9047441324142544,0.5840095741203282,0.1323901729154085,,,,,,
1,xgboost_composition_MIC_SA,xgboost,composition,MIC_SA,5,regression,30.18107627005,6.373148105201723,15.369849154506277,4.080091284213233,0.6876390118627824,0.147415950702842,,,,,,
1,ridge_composition_MIC_SA,ridge,composition,MIC_SA,5,regression,30.61690398070136,3.6512347245537,19.602067176850547,2.23618050439408,0.6882070194988775,0.0733602984945871,,,,,,
1,logistic_composition_MIC_SA,logistic,composition,MIC_SA,5,classification,,,,,,,0.9549407114624506,0.0406634660857286,0.8748752228163994,0.1262969145711459,0.9489569609134826,0.0432547777962947
1,nn_entropy_MIC_SA,nn,entropy,MIC_SA,5,regression,32.866315619216365,7.463199678608194,20.401509441028946,3.24823720259206,0.6192969547611062,0.1778499729880187,,,,,,
1,xgboost_entropy_MIC_SA,xgboost,entropy,MIC_SA,5,regression,28.45796518958406,5.655461732190859,14.76792770506365,4.983712789498591,0.7249683016690576,0.1175016845251004,,,,,,
1,ridge_entropy_MIC_SA,ridge,entropy,MIC_SA,5,regression,29.94861609981152,7.039570004660675,17.36226403266328,2.639077406930498,0.6848775262336803,0.1691950124708117,,,,,,
1,logistic_entropy_MIC_SA,logistic,entropy,MIC_SA,5,classification,,,,,,,0.9371541501976284,0.0541718314593259,0.8074222999223,0.1829342928871994,0.935505326908489,0.0529014531733982
1,nn_combined_MIC_SA,nn,combined,MIC_SA,5,regression,33.08965486491216,6.641927366384566,21.123137055649583,2.7389671093313104,0.6208101153908462,0.1555933484571318,,,,,,
1,xgboost_combined_MIC_SA,xgboost,combined,MIC_SA,5,regression,26.418361785423848,6.282243235766292,12.221389345312309,3.2107841252046865,0.7545297038770695,0.1339667772258747,,,,,,
1,ridge_combined_MIC_SA,ridge,combined,MIC_SA,5,regression,28.420879071296024,7.433562243440599,17.0056729589479,1.448277983348122,0.7101871994353111,0.165536892925069,,,,,,
1,logistic_combined_MIC_SA,logistic,combined,MIC_SA,5,classification,,,,,,,0.9371541501976284,0.0541718314593258,0.8471908576320342,0.1477731627684772,0.9284022675327024,0.0627778166091875
1,nn_composition_MIC_PAO1_PA,nn,composition,MIC_PAO1_PA,5,regression,54.28841377991548,5.551357087860708,38.47253709369737,5.215115845404884,-0.0072962624826837,0.1303579438497087,,,,,,
1,xgboost_composition_MIC_PAO1_PA,xgboost,composition,MIC_PAO1_PA,5,regression,54.78832288495844,5.371545135702555,32.3409551356621,8.04597532159839,-0.0210146006838199,0.0698987529828946,,,,,,
1,ridge_composition_MIC_PAO1_PA,ridge,composition,MIC_PAO1_PA,5,regression,56.19259985309243,4.263623098016185,35.59796379939354,5.15434764566879,-0.0802152996112796,0.1063125267108658,,,,,,
1,logistic_composition_MIC_PAO1_PA,logistic,composition,MIC_PAO1_PA,5,classification,,,,,,,0.7391304347826086,0.0503855683161342,0.5161232137038588,0.0812745331640664,0.7089928524236188,0.0568615379460105
1,nn_entropy_MIC_PAO1_PA,nn,entropy,MIC_PAO1_PA,5,regression,53.76975224921214,4.257846219173021,37.52177326465081,6.003243515780214,0.0138531292963038,0.0660312064162019,,,,,,
1,xgboost_entropy_MIC_PAO1_PA,xgboost,entropy,MIC_PAO1_PA,5,regression,51.113606585324064,10.380356232235345,28.808517191652765,8.40418924729517,0.0642007635766693,0.4139891988763897,,,,,,
1,ridge_entropy_MIC_PAO1_PA,ridge,entropy,MIC_PAO1_PA,5,regression,53.23472195235413,5.309098256566667,35.760506409276736,5.75441743442451,0.0239302597991419,0.1653266420796532,,,,,,
