model,features,target,type,n_sessions,accuracy_across_sessions_std,accuracy_mean,accuracy_std,f1_macro_across_sessions_std,f1_macro_mean,f1_macro_std,f1_weighted_across_sessions_std,f1_weighted_mean,f1_weighted_std,mae_across_sessions_std,mae_mean,mae_std,r2_across_sessions_std,r2_mean,r2_std,rmse_across_sessions_std,rmse_mean,rmse_std
ridge,entropy,MIC_PAO1,regression,5,,,,,,,,,,1.1055021789266741,36.499089473046475,7.654062285812321,0.11111338531541944,-0.07855267468133689,0.34323792381397006,2.348031512432644,56.03726371365546,11.65532351062335
ridge,entropy,MIC_PAO1_PA,regression,5,,,,,,,,,,0.782942248341459,36.82017341507486,6.623620080820549,0.0633389449681229,-0.05870000864325201,0.25164234624342424,1.9738909417286825,55.595603623021894,8.648886964812435
ridge,entropy,MIC_SA,regression,5,,,,,,,,,,0.6569910963731461,16.860707195766317,3.9349490539055374,0.014790434356154666,0.7015864504832424,0.15043997370153858,0.6290179262630498,29.24036952704816,7.77437329929605
xgboost,combined,MIC_PAO1,regression,5,,,,,,,,,,1.4074625772203913,29.82948238756871,7.022321454596664,0.11077803716850484,0.1175663334105194,0.20932467923801257,3.6126576584622256,50.55046927659271,8.636255637496395
xgboost,combined,MIC_PAO1_PA,regression,5,,,,,,,,,,1.1217617593286082,28.56100452988098,6.540167271711584,0.05019659555365809,0.1305343734219379,0.3275684982747622,1.4525727873753322,49.70068812932392,10.811538826245044
xgboost,combined,MIC_SA,regression,5,,,,,,,,,,2.4210753823112188,14.636595712292337,5.189518529926792,0.047581874662520486,0.7071745457470978,0.1609575139857687,2.0241150166984445,28.553524458755042,9.025270930023176
xgboost,composition,MIC_PAO1,regression,5,,,,,,,,,,1.5069510401420958,33.65735389365515,7.62380469773359,0.10523045224993811,-0.11896296681271043,0.22976123250866337,2.7064114770226255,57.36952271849874,8.413759480108677
xgboost,composition,MIC_PAO1_PA,regression,5,,,,,,,,,,0.8599373842596987,33.002408170313764,8.170566461957442,0.03784263539807938,-0.07140985080955134,0.19045308615147066,1.012785235732955,56.277596328437085,8.428258121835182
xgboost,composition,MIC_SA,regression,5,,,,,,,,,,0.9814379572978366,15.907385731572688,5.2566572685712245,0.015980619334667184,0.6869481034077148,0.15820568672619184,1.644814105007249,29.505023902357415,8.474164881043382
xgboost,entropy,MIC_PAO1,regression,5,,,,,,,,,,0.9349635106771491,29.88809468796137,6.910489891526612,0.0928988087640936,0.08574268834489251,0.2782568159833789,2.151164274823329,51.24370569607132,9.701075521018986
xgboost,entropy,MIC_PAO1_PA,regression,5,,,,,,,,,,0.5210368145048704,28.249177590435274,6.8904176322979,0.08867345748361871,0.1831298228596143,0.26138305431757886,1.7918990269520196,48.70444597140783,10.219435483731399
xgboost,entropy,MIC_SA,regression,5,,,,,,,,,,1.355926468957053,14.86717950089647,5.222628994286326,0.041994139655960466,0.7029263819403966,0.14886727427720575,1.8021798718759037,29.055790278291546,8.140885607829839
